city,aqi,date
Coimbatore,27,5 Aug 2026
Cuttack,58,5 Aug 2026
Damoh,51,5 Aug 2026
Dausa,165,5 Aug 2026
Delhi,69,5 Aug 2026
Dewas,92,5 Aug 2026
Dharuhera,67,5 Aug 2026
Dharwad,65,5 Aug 2026
Dholpur,298,5 Aug 2026
Dhule,54,5 Aug 2026
Dombivli,34,5 Aug 2026
Dungarpur,86,5 Aug 2026
Durgapur,63,5 Aug 2026
Eloor,64,5 Aug 2026
Eluru,54,5 Aug 2026
Faridabad,80,5 Aug 2026
Fatehabad,55,5 Aug 2026
Fatehpur sikri,29,5 Aug 2026
Firozabad,45,5 Aug 2026
Gadag,43,5 Aug 2026
Gandhinagar,112,5 Aug 2026
Gaya,123,5 Aug 2026
Ghaziabad,70,5 Aug 2026
Gorakhpur,62,5 Aug 2026
Greater noida,115,5 Aug 2026
Gummidipoondi,131,5 Aug 2026
Guntur,62,5 Aug 2026
Gurugram,103,5 Aug 2026
Guwahati,63,5 Aug 2026
Gwalior,61,5 Aug 2026
Hajipur,48,5 Aug 2026
Haldia,50,5 Aug 2026
Hanumangarh,32,5 Aug 2026
Hapur,53,5 Aug 2026
Hingoli,38,5 Aug 2026
Hisar,41,5 Aug 2026
Howrah,61,5 Aug 2026
Hyderabad,47,5 Aug 2026
Indore,53,5 Aug 2026
Jabalpur,53,5 Aug 2026
Jaipur,102,5 Aug 2026
Jaisalmer,105,5 Aug 2026
Jalandhar,50,5 Aug 2026
Jalgaon,50,5 Aug 2026
Jalna,46,5 Aug 2026
Jalore,95,5 Aug 2026
Jhalawar,60,5 Aug 2026
Jhansi,65,5 Aug 2026
Jhunjhunu,82,5 Aug 2026
Jind,49,5 Aug 2026
Jodhpur,84,5 Aug 2026
Jorapokhar,74,5 Aug 2026
Kaithal,103,5 Aug 2026
Kakinada,62,5 Aug 2026
Kalaburagi,33,5 Aug 2026
Kalyan,60,5 Aug 2026
Kannur,46,5 Aug 2026
Kanpur,40,5 Aug 2026
Karauli,64,5 Aug 2026
Karnal,51,5 Aug 2026
Karwar,42,5 Aug 2026
Katni,82,5 Aug 2026
Keonjhar,41,5 Aug 2026
Khairthal,88,5 Aug 2026
Khanna,73,5 Aug 2026
Khora,96,5 Aug 2026
Khurja,41,5 Aug 2026
Kishanganj,57,5 Aug 2026
Kohima,53,5 Aug 2026
Kolhapur,26,5 Aug 2026
Kolkata,58,5 Aug 2026
Korba,25,5 Aug 2026
Kota,78,5 Aug 2026
Kunjemura,57,5 Aug 2026
Kurnool,29,5 Aug 2026
Kurukshetra,43,5 Aug 2026
Latur,45,5 Aug 2026
Lucknow,56,5 Aug 2026
Ludhiana,52,5 Aug 2026
Machilipatnam,79,5 Aug 2026
Madikeri,14,5 Aug 2026
Madurai,34,5 Aug 2026
Mahad,48,5 Aug 2026
Malegaon,63,5 Aug 2026
Mandideep,88,5 Aug 2026
Mandi gobindgarh,117,5 Aug 2026
Manesar,38,5 Aug 2026
Mangalore,52,5 Aug 2026
Manguraha,80,5 Aug 2026
Mathura,34,5 Aug 2026
Meerut,49,5 Aug 2026
Mehsana,88,5 Aug 2026
Mira-bhayandar,29,5 Aug 2026
Moradabad,47,5 Aug 2026
Mumbai,42,5 Aug 2026
Muzaffarnagar,49,5 Aug 2026
Muzaffarpur,38,5 Aug 2026
Mysuru,48,5 Aug 2026
Nagaon,47,5 Aug 2026
Nagaur,95,5 Aug 2026
Nagpur,55,5 Aug 2026
Naharlagun,12,5 Aug 2026
Nalbari,79,5 Aug 2026
Nanded,34,5 Aug 2026
Nandesari,59,5 Aug 2026
Narnaul,90,5 Aug 2026
Nashik,44,5 Aug 2026
Navi mumbai,31,5 Aug 2026
Nellore,54,5 Aug 2026
Noida,64,5 Aug 2026
Pali,135,5 Aug 2026
Palwal,60,5 Aug 2026
Pampore,53,5 Aug 2026
Panchgaon,31,5 Aug 2026
Panchkula,30,5 Aug 2026
Parbhani,41,5 Aug 2026
Patiala,35,5 Aug 2026
Patna,63,5 Aug 2026
Pimpri-chinchwad,47,5 Aug 2026
Pithampur,107,5 Aug 2026
Pratapgarh,105,5 Aug 2026
Prayagraj,44,5 Aug 2026
Puducherry,37,5 Aug 2026
Pune,52,5 Aug 2026
Purnia,55,5 Aug 2026
Raebareli,75,5 Aug 2026
Raipur,35,5 Aug 2026
Rairangpur,44,5 Aug 2026
Rajamahendravaram,41,5 Aug 2026
Rajkot,80,5 Aug 2026
Rajsamand,80,5 Aug 2026
Ramanagara,44,5 Aug 2026
Ratlam,41,5 Aug 2026
Rishikesh,37,5 Aug 2026
Rohtak,35,5 Aug 2026
Rourkela,49,5 Aug 2026
Rupnagar,54,5 Aug 2026
Sagar,38,5 Aug 2026
Saharsa,52,5 Aug 2026
Sangli,34,5 Aug 2026
Satara,52,5 Aug 2026
Satna,70,5 Aug 2026
Sawai madhopur,84,5 Aug 2026
Shamli,71,5 Aug 2026
Shillong,32,5 Aug 2026
Sikar,120,5 Aug 2026
Silchar,55,5 Aug 2026
Siliguri,122,5 Aug 2026
Sirohi,77,5 Aug 2026
Sirsa,84,5 Aug 2026
Siwan,105,5 Aug 2026
Solapur,51,5 Aug 2026
Sonipat,132,5 Aug 2026
Sri ganganagar,61,5 Aug 2026
Srinagar,46,5 Aug 2026
Surat,78,5 Aug 2026
Thane,39,5 Aug 2026
Thiruvananthapuram,37,5 Aug 2026
Thoothukudi,65,5 Aug 2026
Tirumala,47,5 Aug 2026
Tirupati,69,5 Aug 2026
Tonk,114,5 Aug 2026
Tumidih,35,5 Aug 2026
Udaipur,97,5 Aug 2026
Ujjain,57,5 Aug 2026
Ulhasnagar,8,5 Aug 2026
Vadodara,88,5 Aug 2026
Vapi,36,5 Aug 2026
Varanasi,38,5 Aug 2026
Vatva,117,5 Aug 2026
Vijayapura,43,5 Aug 2026
Vijayawada,62,5 Aug 2026
Virar,38,5 Aug 2026
Visakhapatnam,106,5 Aug 2026
Vrindavan,49,5 Aug 2026
Yamuna nagar,115,5 Aug 2026
अगरतला,73,4 Aug 2026
आगरा,58,4 Aug 2026
अहमदाबाद,91,4 Aug 2026
अहमदनगर,50,4 Aug 2026
आइजोल,14,4 Aug 2026
अजमेर,84,4 Aug 2026
अकोला,46,4 Aug 2026
अलवर,85,4 Aug 2026
अमरावती,59,4 Aug 2026
अंबाला,63,4 Aug 2026
अमरावती,34,4 Aug 2026
अमृतसर,54,4 Aug 2026
अनंतपुर,55,4 Aug 2026
अंगुल,65,4 Aug 2026
अंकलेश्वर,67,4 Aug 2026
अररिया,47,4 Aug 2026
आसनसोल,58,4 Aug 2026
Aurangabad (Maharashtra),49,4 Aug 2026
बड़ी,75,4 Aug 2026
Badlapur,34,4 Aug 2026
बागलकोट,51,4 Aug 2026
Bahadurgarh,48,4 Aug 2026
Balasore,50,4 Aug 2026
Ballabgarh,45,4 Aug 2026
बांसवाड़ा,42,4 Aug 2026
Baran,50,4 Aug 2026
Barbil,70,4 Aug 2026
बरेली,42,4 Aug 2026
Baripada,60,4 Aug 2026
बाड़मेर,84,4 Aug 2026
Barrackpore,64,4 Aug 2026
Beed,32,4 Aug 2026
Begusarai,29,4 Aug 2026
Belapur,53,4 Aug 2026
बेलगाम,64,4 Aug 2026
Bengaluru,53,4 Aug 2026
भागलपुर,118,4 Aug 2026
भरतपुर,31,4 Aug 2026
भावनगर,64,4 Aug 2026
Bhilai,28,4 Aug 2026
भीलवाड़ा,94,4 Aug 2026
भिवाड़ी,73,4 Aug 2026
Bhiwandi,72,4 Aug 2026
भिवानी,26,4 Aug 2026
भोपाल,54,4 Aug 2026
भुवनेश्वर,41,4 Aug 2026
बीकानेर,65,4 Aug 2026
Bileipada,133,4 Aug 2026
Boisar,47,4 Aug 2026
Brajrajnagar,44,4 Aug 2026
Bulandshahr,38,4 Aug 2026
Bundi,47,4 Aug 2026
Byasanagar,51,4 Aug 2026
Byrnihat (Meghalaya),70,4 Aug 2026
Chamarajanagar,42,4 Aug 2026
Chandigarh,39,4 Aug 2026
Chandrapur,45,4 Aug 2026
Charkhi dadri,75,4 Aug 2026
Chennai,72,4 Aug 2026
Chhapra,86,4 Aug 2026
Chikkaballapur,32,4 Aug 2026
Chittoor,63,4 Aug 2026
Chittorgarh,64,4 Aug 2026
Churu,32,4 Aug 2026
Coimbatore,25,4 Aug 2026
Cuddalore,23,4 Aug 2026
Cuttack,53,4 Aug 2026
Damoh,50,4 Aug 2026
Dausa,131,4 Aug 2026
Dehradun,64,4 Aug 2026
Delhi,64,4 Aug 2026
Dewas,90,4 Aug 2026
Dharuhera,71,4 Aug 2026
Dharwad,60,4 Aug 2026
Dholpur,248,4 Aug 2026
Dhule,51,4 Aug 2026
Dombivli,39,4 Aug 2026
Dungarpur,77,4 Aug 2026
Durgapur,85,4 Aug 2026
Eloor,125,4 Aug 2026
Eluru,53,4 Aug 2026
Faridabad,88,4 Aug 2026
Fatehabad,58,4 Aug 2026
Fatehpur sikri,29,4 Aug 2026
Firozabad,40,4 Aug 2026
Gandhinagar,101,4 Aug 2026
Gaya,93,4 Aug 2026
Ghaziabad,68,4 Aug 2026
Gorakhpur,45,4 Aug 2026
Greater noida,100,4 Aug 2026
Gummidipoondi,127,4 Aug 2026
Guntur,50,4 Aug 2026
Gurugram,76,4 Aug 2026
Guwahati,98,4 Aug 2026
Gwalior,56,4 Aug 2026
Hajipur,41,4 Aug 2026
Haldia,47,4 Aug 2026
Hanumangarh,34,4 Aug 2026
Hapur,39,4 Aug 2026
Hingoli,39,4 Aug 2026
Hisar,48,4 Aug 2026
Howrah,67,4 Aug 2026
Hyderabad,49,4 Aug 2026
Indore,52,4 Aug 2026
Jabalpur,53,4 Aug 2026
Jaipur,70,4 Aug 2026
Jaisalmer,100,4 Aug 2026
Jalandhar,45,4 Aug 2026
Jalgaon,37,4 Aug 2026
Jalore,88,4 Aug 2026
Jhalawar,83,4 Aug 2026
Jhansi,61,4 Aug 2026
Jhunjhunu,100,4 Aug 2026
Jind,43,4 Aug 2026
Jodhpur,93,4 Aug 2026
Jorapokhar,87,4 Aug 2026
Kadapa,56,4 Aug 2026
Kaithal,98,4 Aug 2026
Kakinada,57,4 Aug 2026
Kalaburagi,32,4 Aug 2026
Kalyan,71,4 Aug 2026
Kannur,45,4 Aug 2026
Kanpur,43,4 Aug 2026
Karauli,40,4 Aug 2026
Karnal,51,4 Aug 2026
Karwar,42,4 Aug 2026
Kashipur,38,4 Aug 2026
Katni,63,4 Aug 2026
Keonjhar,44,4 Aug 2026
Khanna,75,4 Aug 2026
Khora,103,4 Aug 2026
Khurja,55,4 Aug 2026
Kishanganj,49,4 Aug 2026
Kohima,50,4 Aug 2026
Kolhapur,31,4 Aug 2026
Kolkata,68,4 Aug 2026
Korba,41,4 Aug 2026
Kota,58,4 Aug 2026
Kunjemura,39,4 Aug 2026
Kurnool,29,4 Aug 2026
Kurukshetra,45,4 Aug 2026
Latur,34,4 Aug 2026
Lucknow,51,4 Aug 2026
Ludhiana,72,4 Aug 2026
Machilipatnam,82,4 Aug 2026
Madikeri,15,4 Aug 2026
Madurai,28,4 Aug 2026
Mahad,52,4 Aug 2026
Maihar,26,4 Aug 2026
Malegaon,42,4 Aug 2026
Mandideep,64,4 Aug 2026
Mandi gobindgarh,123,4 Aug 2026
Mandikhera,99,4 Aug 2026
Manesar,34,4 Aug 2026
Mangalore,48,4 Aug 2026
Mathura,28,4 Aug 2026
Meerut,46,4 Aug 2026
Mehsana,87,4 Aug 2026
Milupara,31,4 Aug 2026
Mira-bhayandar,38,4 Aug 2026
Moradabad,49,4 Aug 2026
Mumbai,49,4 Aug 2026
Muzaffarnagar,45,4 Aug 2026
Muzaffarpur,31,4 Aug 2026
Mysuru,50,4 Aug 2026
Nagaon,56,4 Aug 2026
Nagaur,84,4 Aug 2026
Nagpur,35,4 Aug 2026
Naharlagun,23,4 Aug 2026
Nalbari,67,4 Aug 2026
Nanded,29,4 Aug 2026
Nandesari,51,4 Aug 2026
Narnaul,64,4 Aug 2026
Nashik,35,4 Aug 2026
Navi mumbai,44,4 Aug 2026
Nellore,65,4 Aug 2026
Noida,61,4 Aug 2026
Pali,110,4 Aug 2026
Palwal,77,4 Aug 2026
Pampore,51,4 Aug 2026
Panchgaon,33,4 Aug 2026
Panchkula,69,4 Aug 2026
Panipat,146,4 Aug 2026
Parbhani,26,4 Aug 2026
Patiala,35,4 Aug 2026
Patna,55,4 Aug 2026
Pimpri-chinchwad,53,4 Aug 2026
Pithampur,103,4 Aug 2026
Pratapgarh,93,4 Aug 2026
Prayagraj,73,4 Aug 2026
Puducherry,37,4 Aug 2026
Pune,48,4 Aug 2026
Purnia,56,4 Aug 2026
Raipur,40,4 Aug 2026
Rairangpur,40,4 Aug 2026
Rajamahendravaram,36,4 Aug 2026
Rajkot,84,4 Aug 2026
Rajsamand,62,4 Aug 2026
Ramanagara,38,4 Aug 2026
Ratlam,45,4 Aug 2026
Rishikesh,37,4 Aug 2026
Rohtak,37,4 Aug 2026
Rourkela,48,4 Aug 2026
Sagar,38,4 Aug 2026
Saharsa,49,4 Aug 2026
Samastipur,36,4 Aug 2026
Sangli,44,4 Aug 2026
Sasaram,54,4 Aug 2026
Satara,70,4 Aug 2026
Satna,70,4 Aug 2026
Sawai madhopur,64,4 Aug 2026
Shamli,72,4 Aug 2026
Shillong,28,4 Aug 2026
Sikar,92,4 Aug 2026
Silchar,57,4 Aug 2026
Siliguri,115,4 Aug 2026
Singrauli,46,4 Aug 2026
Sirohi,81,4 Aug 2026
Sirsa,85,4 Aug 2026
Siwan,105,4 Aug 2026
Solapur,48,4 Aug 2026
Sonipat,131,4 Aug 2026
Srinagar,43,4 Aug 2026
Surat,78,4 Aug 2026
Talcher,82,4 Aug 2026
Thane,48,4 Aug 2026
Thiruvananthapuram,38,4 Aug 2026
Thoothukudi,65,4 Aug 2026
Thrissur,43,4 Aug 2026
Tirumala,50,4 Aug 2026
Tirupati,67,4 Aug 2026
Tonk,105,4 Aug 2026
Tumidih,49,4 Aug 2026
Udaipur,71,4 Aug 2026
Ujjain,71,4 Aug 2026
Ulhasnagar,16,4 Aug 2026
Vadodara,71,4 Aug 2026
Vapi,44,4 Aug 2026
Varanasi,46,4 Aug 2026
Vatva,126,4 Aug 2026
Vijayapura,43,4 Aug 2026
Vijayawada,57,4 Aug 2026
Virar,35,4 Aug 2026
Visakhapatnam,87,4 Aug 2026
Vrindavan,50,4 Aug 2026
Yadgir,32,4 Aug 2026
अगरतला,72,3 Aug 2026
आगरा,70,3 Aug 2026
अहमदाबाद,75,3 Aug 2026
अहमदनगर,44,3 Aug 2026
आइजोल,17,3 Aug 2026
अजमेर,43,3 Aug 2026
अकोला,48,3 Aug 2026
अलवर,88,3 Aug 2026
अमरावती,58,3 Aug 2026
अंबाला,67,3 Aug 2026
अंबरनाथ,54,3 Aug 2026
अमरावती,42,3 Aug 2026
अमृतसर,75,3 Aug 2026
अनंतपुर,55,3 Aug 2026
अंगुल,59,3 Aug 2026
अंकलेश्वर,43,3 Aug 2026
अररिया,48,3 Aug 2026
आसनसोल,59,3 Aug 2026
Aurangabad (Maharashtra),66,3 Aug 2026
बड़ी,93,3 Aug 2026
Badlapur,35,3 Aug 2026
बागलकोट,51,3 Aug 2026
Bahadurgarh,59,3 Aug 2026
Balasore,57,3 Aug 2026
Ballabgarh,51,3 Aug 2026
बांसवाड़ा,66,3 Aug 2026
Baran,45,3 Aug 2026
Barbil,75,3 Aug 2026
बरेली,34,3 Aug 2026
Baripada,64,3 Aug 2026
बाड़मेर,56,3 Aug 2026
Barrackpore,65,3 Aug 2026
बठिंडा,85,3 Aug 2026
Beed,28,3 Aug 2026
Begusarai,63,3 Aug 2026
Belapur,46,3 Aug 2026
बेलगाम,68,3 Aug 2026
Bengaluru,51,3 Aug 2026
Bettiah,23,3 Aug 2026
भागलपुर,70,3 Aug 2026
भरतपुर,33,3 Aug 2026
भावनगर,59,3 Aug 2026
Bhilai,21,3 Aug 2026
भीलवाड़ा,55,3 Aug 2026
भिवाड़ी,60,3 Aug 2026
Bhiwandi,45,3 Aug 2026
भिवानी,21,3 Aug 2026
भोपाल,45,3 Aug 2026
भुवनेश्वर,47,3 Aug 2026
Bihar sharif,387,3 Aug 2026
बीकानेर,42,3 Aug 2026
बिलासपुर,53,3 Aug 2026
Bileipada,178,3 Aug 2026
Boisar,60,3 Aug 2026
Brajrajnagar,67,3 Aug 2026
Bulandshahr,51,3 Aug 2026
Bundi,44,3 Aug 2026
Byasanagar,58,3 Aug 2026
Byrnihat (Assam),86,3 Aug 2026
Byrnihat (Meghalaya),154,3 Aug 2026
Chamarajanagar,46,3 Aug 2026
Chandigarh,44,3 Aug 2026
Chandrapur,49,3 Aug 2026
Charkhi dadri,79,3 Aug 2026
Chennai,75,3 Aug 2026
Chhal,92,3 Aug 2026
Chhapra,90,3 Aug 2026
Chikkaballapur,40,3 Aug 2026
Chikkamagaluru,31,3 Aug 2026
Chittoor,62,3 Aug 2026
Chittorgarh,59,3 Aug 2026
Churu,56,3 Aug 2026
Coimbatore,25,3 Aug 2026
Cuttack,52,3 Aug 2026
Damoh,51,3 Aug 2026
Dausa,73,3 Aug 2026
Dehradun,44,3 Aug 2026
Delhi,76,3 Aug 2026
Dewas,61,3 Aug 2026
Dhanbad,103,3 Aug 2026
Dharuhera,69,3 Aug 2026
Dharwad,57,3 Aug 2026
Dholpur,52,3 Aug 2026
Dhule,46,3 Aug 2026
Dombivli,35,3 Aug 2026
Dungarpur,51,3 Aug 2026
Durgapur,77,3 Aug 2026
Eluru,65,3 Aug 2026
Faridabad,75,3 Aug 2026
Fatehabad,78,3 Aug 2026
Fatehpur sikri,29,3 Aug 2026
Firozabad,33,3 Aug 2026
Gandhinagar,65,3 Aug 2026
Gangtok,19,3 Aug 2026
Gaya,53,3 Aug 2026
Ghaziabad,78,3 Aug 2026
Greater noida,85,3 Aug 2026
Gummidipoondi,77,3 Aug 2026
Guntur,60,3 Aug 2026
Gurugram,130,3 Aug 2026
Guwahati,73,3 Aug 2026
Gwalior,53,3 Aug 2026
Hajipur,56,3 Aug 2026
Haldia,55,3 Aug 2026
Hanumangarh,42,3 Aug 2026
Hapur,50,3 Aug 2026
Hingoli,38,3 Aug 2026
Hisar,56,3 Aug 2026
Howrah,74,3 Aug 2026
Hubballi,52,3 Aug 2026
Hyderabad,49,3 Aug 2026
Indore,36,3 Aug 2026
Jabalpur,55,3 Aug 2026
Jaipur,48,3 Aug 2026
Jaisalmer,64,3 Aug 2026
Jalandhar,60,3 Aug 2026
Jalgaon,40,3 Aug 2026
Jalore,35,3 Aug 2026
Jhalawar,61,3 Aug 2026
Jhansi,63,3 Aug 2026
Jhunjhunu,88,3 Aug 2026
Jind,56,3 Aug 2026
Jodhpur,52,3 Aug 2026
Jorapokhar,120,3 Aug 2026
Kadapa,58,3 Aug 2026
Kaithal,54,3 Aug 2026
Kakinada,66,3 Aug 2026
Kalaburagi,32,3 Aug 2026
Kalyan,58,3 Aug 2026
Kannur,45,3 Aug 2026
Kanpur,43,3 Aug 2026
Karauli,44,3 Aug 2026
Karnal,69,3 Aug 2026
Karwar,59,3 Aug 2026
Katihar,65,3 Aug 2026
Katni,47,3 Aug 2026
Keonjhar,46,3 Aug 2026
Khanna,68,3 Aug 2026
Khora,99,3 Aug 2026
Khurja,47,3 Aug 2026
Kishanganj,44,3 Aug 2026
Kohima,55,3 Aug 2026
Kolhapur,32,3 Aug 2026
Kolkata,70,3 Aug 2026
Korba,46,3 Aug 2026
Kota,41,3 Aug 2026
Kunjemura,105,3 Aug 2026
Kurnool,28,3 Aug 2026
Kurukshetra,60,3 Aug 2026
Latur,36,3 Aug 2026
Lucknow,74,3 Aug 2026
Machilipatnam,84,3 Aug 2026
Madikeri,14,3 Aug 2026
Mahad,50,3 Aug 2026
Maihar,15,3 Aug 2026
Malegaon,50,3 Aug 2026
Mandideep,45,3 Aug 2026
Mandi gobindgarh,105,3 Aug 2026
Mandikhera,98,3 Aug 2026
Manesar,35,3 Aug 2026
Mangalore,57,3 Aug 2026
Manguraha,71,3 Aug 2026
Mathura,37,3 Aug 2026
Meerut,60,3 Aug 2026
Mehsana,81,3 Aug 2026
Milupara,58,3 Aug 2026
Mira-bhayandar,31,3 Aug 2026
Moradabad,47,3 Aug 2026
Mumbai,48,3 Aug 2026
Munger,59,3 Aug 2026
Muzaffarnagar,66,3 Aug 2026
Muzaffarpur,42,3 Aug 2026
Mysuru,52,3 Aug 2026
Nagaon,64,3 Aug 2026
Nagaur,33,3 Aug 2026
Nagpur,49,3 Aug 2026
Naharlagun,13,3 Aug 2026
Nalbari,33,3 Aug 2026
Nanded,31,3 Aug 2026
Nandesari,61,3 Aug 2026
Narnaul,74,3 Aug 2026
Nashik,33,3 Aug 2026
Navi mumbai,39,3 Aug 2026
Nellore,65,3 Aug 2026
Noida,74,3 Aug 2026
Palwal,51,3 Aug 2026
Pampore,54,3 Aug 2026
Panchkula,40,3 Aug 2026
Panipat,119,3 Aug 2026
Parbhani,31,3 Aug 2026
Patiala,44,3 Aug 2026
Patna,65,3 Aug 2026
Pimpri-chinchwad,45,3 Aug 2026
Pithampur,67,3 Aug 2026
Pratapgarh,45,3 Aug 2026
Prayagraj,23,3 Aug 2026
Puducherry,44,3 Aug 2026
Pune,50,3 Aug 2026
Purnia,57,3 Aug 2026
Raebareli,74,3 Aug 2026
Raipur,38,3 Aug 2026
Rairangpur,43,3 Aug 2026
Rajamahendravaram,51,3 Aug 2026
Rajkot,74,3 Aug 2026
Rajsamand,46,3 Aug 2026
Ramanagara,40,3 Aug 2026
Ratlam,35,3 Aug 2026
Rishikesh,37,3 Aug 2026
Rohtak,62,3 Aug 2026
Rourkela,63,3 Aug 2026
Sagar,35,3 Aug 2026
Saharsa,64,3 Aug 2026
Samastipur,99,3 Aug 2026
Sangli,40,3 Aug 2026
Satara,55,3 Aug 2026
Satna,70,3 Aug 2026
Sawai madhopur,43,3 Aug 2026
Shamli,66,3 Aug 2026
Shillong,26,3 Aug 2026
Sikar,80,3 Aug 2026
Silchar,55,3 Aug 2026
Siliguri,116,3 Aug 2026
Singrauli,43,3 Aug 2026
Sirohi,58,3 Aug 2026
Sirsa,85,3 Aug 2026
Siwan,105,3 Aug 2026
Solapur,53,3 Aug 2026
Sonipat,133,3 Aug 2026
Sri ganganagar,114,3 Aug 2026
Srinagar,44,3 Aug 2026
Surat,73,3 Aug 2026
Talcher,62,3 Aug 2026
Tensa,38,3 Aug 2026
Thane,40,3 Aug 2026
Thiruvananthapuram,34,3 Aug 2026
Thoothukudi,66,3 Aug 2026
Thrissur,40,3 Aug 2026
Tirumala,53,3 Aug 2026
Tirupati,62,3 Aug 2026
Tonk,57,3 Aug 2026
Tumidih,47,3 Aug 2026
Udaipur,60,3 Aug 2026
Ujjain,42,3 Aug 2026
Ulhasnagar,24,3 Aug 2026
Vadodara,70,3 Aug 2026
Vapi,45,3 Aug 2026
Varanasi,48,3 Aug 2026
Vatva,101,3 Aug 2026
Vijayapura,43,3 Aug 2026
Vijayawada,61,3 Aug 2026
Virar,31,3 Aug 2026
Visakhapatnam,132,3 Aug 2026
Vrindavan,50,3 Aug 2026
Yadgir,38,3 Aug 2026
Yamuna nagar,71,3 Aug 2026
अगरतला,72,2 Aug 2026
आगरा,65,2 Aug 2026
अहमदाबाद,70,2 Aug 2026
अहमदनगर,69,2 Aug 2026
आइजोल,20,2 Aug 2026
अकोला,43,2 Aug 2026
अलवर,89,2 Aug 2026
अमरावती,54,2 Aug 2026
अंबाला,62,2 Aug 2026
अंबरनाथ,74,2 Aug 2026
अमरावती,28,2 Aug 2026
अमृतसर,77,2 Aug 2026
अनंतपुर,49,2 Aug 2026
अंगुल,68,2 Aug 2026
अररिया,47,2 Aug 2026
आसनसोल,50,2 Aug 2026
Aurangabad (Maharashtra),43,2 Aug 2026
बड़ी,104,2 Aug 2026
Badlapur,30,2 Aug 2026
बागलकोट,51,2 Aug 2026
Baghpat,87,2 Aug 2026
Bahadurgarh,57,2 Aug 2026
Balasore,61,2 Aug 2026
Ballabgarh,47,2 Aug 2026
बांसवाड़ा,59,2 Aug 2026
Baran,53,2 Aug 2026
Barbil,73,2 Aug 2026
बरेली,49,2 Aug 2026
Baripada,62,2 Aug 2026
बाड़मेर,41,2 Aug 2026
Barrackpore,56,2 Aug 2026
बठिंडा,85,2 Aug 2026
Beed,33,2 Aug 2026
Begusarai,77,2 Aug 2026
Belapur,49,2 Aug 2026
बेलगाम,68,2 Aug 2026
Bengaluru,40,2 Aug 2026
Bettiah,32,2 Aug 2026
भागलपुर,111,2 Aug 2026
भरतपुर,35,2 Aug 2026
भावनगर,59,2 Aug 2026
Bhilai,21,2 Aug 2026
भीलवाड़ा,101,2 Aug 2026
भिवाड़ी,66,2 Aug 2026
Bhiwandi,45,2 Aug 2026
भिवानी,46,2 Aug 2026
भोपाल,30,2 Aug 2026
भुवनेश्वर,51,2 Aug 2026
Bihar sharif,278,2 Aug 2026
बीकानेर,102,2 Aug 2026
बिलासपुर,76,2 Aug 2026
Bileipada,196,2 Aug 2026
Boisar,42,2 Aug 2026
Brajrajnagar,71,2 Aug 2026
Bulandshahr,54,2 Aug 2026
Bundi,40,2 Aug 2026
Buxar,122,2 Aug 2026
Byasanagar,53,2 Aug 2026
Byrnihat (Assam),86,2 Aug 2026
Byrnihat (Meghalaya),113,2 Aug 2026
Chamarajanagar,35,2 Aug 2026
Chandigarh,44,2 Aug 2026
Chandrapur,39,2 Aug 2026
Charkhi dadri,72,2 Aug 2026
Chennai,61,2 Aug 2026
Chhal,70,2 Aug 2026
Chhapra,121,2 Aug 2026
Chikkamagaluru,29,2 Aug 2026
Chittoor,60,2 Aug 2026
Chittorgarh,34,2 Aug 2026
Churu,57,2 Aug 2026
Coimbatore,26,2 Aug 2026
Cuddalore,40,2 Aug 2026
Cuttack,54,2 Aug 2026
Damoh,48,2 Aug 2026
Dausa,32,2 Aug 2026
Dehradun,40,2 Aug 2026
Delhi,78,2 Aug 2026
Dewas,64,2 Aug 2026
Dhanbad,106,2 Aug 2026
Dharuhera,79,2 Aug 2026
Dharwad,59,2 Aug 2026
Dholpur,55,2 Aug 2026
Dhule,35,2 Aug 2026
Dombivli,34,2 Aug 2026
Dungarpur,30,2 Aug 2026
Durgapur,65,2 Aug 2026
Eluru,73,2 Aug 2026
Faridabad,74,2 Aug 2026
Fatehpur sikri,31,2 Aug 2026
Firozabad,38,2 Aug 2026
Gajraula,62,2 Aug 2026
Gandhinagar,39,2 Aug 2026
Gangtok,21,2 Aug 2026
Gaya,57,2 Aug 2026
Ghaziabad,73,2 Aug 2026
Gorakhpur,85,2 Aug 2026
Greater noida,88,2 Aug 2026
Gummidipoondi,90,2 Aug 2026
Guntur,59,2 Aug 2026
Gurugram,83,2 Aug 2026
Guwahati,44,2 Aug 2026
Gwalior,54,2 Aug 2026
Hajipur,53,2 Aug 2026
Haldia,46,2 Aug 2026
Hanumangarh,50,2 Aug 2026
Hapur,52,2 Aug 2026
Hingoli,39,2 Aug 2026
Hisar,65,2 Aug 2026
Howrah,66,2 Aug 2026
Hubballi,40,2 Aug 2026
Hyderabad,50,2 Aug 2026
Indore,34,2 Aug 2026
Jabalpur,55,2 Aug 2026
Jaipur,49,2 Aug 2026
Jaisalmer,70,2 Aug 2026
Jalandhar,60,2 Aug 2026
Jalgaon,36,2 Aug 2026
Jalore,46,2 Aug 2026
Jhalawar,78,2 Aug 2026
Jhansi,51,2 Aug 2026
Jhunjhunu,80,2 Aug 2026
Jind,65,2 Aug 2026
Jodhpur,63,2 Aug 2026
Jorapokhar,92,2 Aug 2026
Kaithal,58,2 Aug 2026
Kakinada,69,2 Aug 2026
Kalaburagi,38,2 Aug 2026
